ScanID,EchoTime,RepetitionTime,InversionTime
sub-OAS30050_ses-d0110_T2w,0.455,3.2,
sub-OAS30240_ses-d3843_T1w,0.00213,2.4,1.0
sub-OAS30545_ses-d0028_T2w,0.455,3.2,
sub-OAS30545_ses-d0028_run-02_T1w,0.00316,2.4,1.0
sub-OAS31151_ses-d0086_run-02_T1w,0.00316,2.4,1.0
sub-OAS31151_ses-d0086_T2w,0.455,3.2,
sub-OAS30149_ses-d1240_FLAIR,0.091,9.0,2.5
sub-OAS30149_ses-d1240_T1w,0.00295,2.3,0.9
sub-OAS30400_ses-d0070_T1w,0.00316,2.4,1.0
sub-OAS30400_ses-d0070_T2w,0.455,3.2,
sub-OAS31104_sess-d3744_T1w,0.00295,2.3,0.9
sub-OAS31104_sess-d3744_FLAIR,0.091,9.0,2.5
sub-OAS30687_ses-d0064_run-02_T1w,0.00316,2.4,1.0
sub-OAS30687_ses-d0064_T2w,0.455,3.2,
sub-OAS31114_ses-d2644_FLAIR,0.076,9.0,2.5
sub-OAS31114_ses-d2644_T1w,0.00316,2.4,1.0
sub-OAS31114_ses-d2644_T2w,0.455,3.2,
sub-OAS30293_ses-d1221_FLAIR,0.091,9.0,2.5
sub-OAS30293_ses-d1221_T1w,0.00295,2.3,0.9
sub-OAS30143_ses-d3509_T1w,0.00295,2.3,0.9
sub-OAS30143_ses-d3509_FLAIR,0.091,9.0,2.5
sub-OAS30514_ses-d1526_T1w,0.00295,2.3,0.9
sub-OAS30514_ses-d1526_FLAIR,0.091,9.0,2.5
sub-OAS30219_ses-d1184_T1w,0.00295,2.3,0.9
sub-OAS30219_ses-d1184_FLAIR,0.091,9.0,2.5
sub-OAS30070_ses-d0070_T1w,0.00316,2.4,1.0
sub-OAS30070_ses-d0070_T2w,0.455,3.2,
sub-OAS30802_ses-d0132_T2w,0.455,3.2,
sub-OAS30802_ses-d0132_T1w,0.00316,2.4,1.0
sub-OAS30934_ses-d0520_T1w,0.00316,2.4,1.0
sub-OAS30934_ses-d0520_T2w,0.455,3.2,
sub-OAS30832_sess-d3848_FLAIR,0.091,9.0,2.5
sub-OAS30832_sess-d3848_T1w,0.00295,2.3,0.9
sub-OAS30492_ses-d1169_FLAIR,0.091,9.0,2.5
sub-OAS30492_ses-d1169_T1w,0.00295,2.3,0.9
sub-OAS30476_sess-d1931_FLAIR,0.091,9.0,2.5
sub-OAS30476_sess-d1931_T1w,0.00295,2.3,0.9
sub-OAS30221_ses-d1143_FLAIR,0.091,9.0,2.5
sub-OAS30221_ses-d1143_T1w,0.00295,2.3,0.9
sub-OAS30589_ses-d0096_T2w,0.455,3.2,
sub-OAS30589_ses-d0096_run-02_T1w,0.00316,2.4,1.0
sub-OAS30435_sess-d0054_FLAIR,0.091,9.0,2.5
sub-OAS30435_sess-d0054_T1w,0.00295,2.3,0.9
sub-OAS31039_ses-d0001_T2w,0.455,3.2,
sub-OAS31039_ses-d0001_FLAIR,0.076,9.0,2.5
sub-OAS31039_ses-d0001_T1w,0.00316,2.4,1.0
sub-OAS30079_ses-d2668_T1w,0.00316,2.4,1.0
sub-OAS30079_ses-d2668_FLAIR,0.076,9.0,2.5
sub-OAS30079_ses-d2668_T2w,0.455,3.2,
sub-OAS30191_ses-d2352_T2w,0.455,3.2,
sub-OAS30191_ses-d2352_T1w,0.00316,2.4,1.0
sub-OAS31208_sess-d0094_FLAIR,0.091,9.0,2.5
sub-OAS31208_sess-d0094_T1w,0.00295,2.3,0.9
sub-OAS30782_ses-d0074_run-02_T1w,0.00316,2.4,1.0
sub-OAS30782_ses-d0074_T2w,0.455,3.2,
sub-OAS30484_ses-d0557_T1w,0.00295,2.3,0.9
sub-OAS30484_ses-d0557_FLAIR,0.091,9.0,2.5
sub-OAS30777_ses-d2999_T1w,0.00316,2.4,1.0
sub-OAS30777_ses-d2999_T2w,0.455,3.2,
sub-OAS30535_ses-d1329_T1w,0.00316,2.4,1.0
sub-OAS30535_ses-d1329_T2w,0.455,3.2,
sub-OAS31025_ses-d3510_T1w,0.00316,2.4,1.0
sub-OAS31025_ses-d3510_T2w,0.455,3.2,
sub-OAS31025_ses-d3510_FLAIR,0.076,9.0,2.5
sub-OAS30460_ses-d0043_T1w,0.00316,2.4,1.0
sub-OAS30460_ses-d0043_T2w,0.455,3.2,
sub-OAS30256_ses-d3588_T2w,0.455,3.2,
sub-OAS30256_ses-d3588_T1w,0.00316,2.4,1.0
sub-OAS30256_ses-d3588_FLAIR,0.076,9.0,2.5
sub-OAS30561_sess-d1137_T1w,0.00295,2.3,0.9
sub-OAS30561_sess-d1137_FLAIR,0.091,9.0,2.5
sub-OAS30864_ses-d0603_T2w,0.455,3.2,
sub-OAS30864_ses-d0603_T1w,0.00316,2.4,1.0
sub-OAS30494_ses-d4030_T2w,0.455,3.2,
sub-OAS30494_ses-d4030_T1w,0.00316,2.4,1.0
sub-OAS30097_sess-d3787_FLAIR,0.091,9.0,2.5
sub-OAS30097_sess-d3787_T1w,0.00295,2.3,0.9
sub-OAS30403_ses-d2868_FLAIR,0.091,9.0,2.5
sub-OAS30403_ses-d2868_T1w,0.00295,2.3,0.9
sub-OAS30208_ses-d0436_T1w,0.00316,2.4,1.0
sub-OAS30208_ses-d0436_T2w,0.455,3.2,
sub-OAS30855_ses-d3346_T1w,0.00316,2.4,1.0
sub-OAS30855_ses-d3346_T2w,0.455,3.2,
sub-OAS30101_ses-d0101_run-02_T1w,0.00316,2.4,1.0
sub-OAS30101_ses-d0101_T2w,0.455,3.2,
sub-OAS30939_ses-d0483_T2w,0.455,3.2,
sub-OAS30939_ses-d0483_T1w,0.00316,2.4,1.0
sub-OAS30982_ses-d1708_T1w,0.00295,2.3,0.9
sub-OAS30982_ses-d1708_FLAIR,0.091,9.0,2.5
sub-OAS30978_ses-d0059_run-02_T1w,0.00213,2.4,1.0
